Timestamp,Product Name,Previous Price,Current Price
2026-03-26 20:47:45,Sony Playstation 5 Consola Slim Standard + Juego Astro Bot Y Gt7 Blanco,1699999,1416699
2026-03-26 20:47:45,Sony Playstation 5 Slim 1tb Standard Bundle Astro Bot Y Gran Turismo 7 Blanco,1499999,1243499
